store_id,product_id,stock_quantity,last_updated
203,4,47,2025-01-24
203,15,48,2025-03-20
203,11,46,2025-03-10
203,20,38,2025-01-19
203,7,48,2025-03-06
151,3,48,2025-02-17
335,18,45,2025-01-10
335,2,47,2025-01-20
335,17,38,2025-01-13
242,18,34,2025-01-01
242,5,43,2025-03-26
242,2,46,2025-02-06
205,11,47,2025-01-09
205,17,28,2025-02-15
205,20,31,2025-02-25
205,12,43,2025-01-09
205,4,45,2025-02-20
35,11,45,2025-01-19
35,16,42,2025-01-09
35,5,47,2025-01-15
35,20,45,2025-01-18
35,13,44,2025-02-26
346,15,45,2025-01-01
346,14,47,2025-02-13
346,8,46,2025-01-01
99,16,42,2025-01-13
83,5,48,2025-02-28
26,3,41,2025-01-04
26,7,44,2025-02-04
26,17,36,2025-01-29
26,4,47,2025-02-07
26,6,42,2025-01-03
26,19,38,2025-01-11
359,9,45,2025-03-07
359,17,33,2025-02-10
359,5,42,2025-02-07
359,16,29,2025-02-10
359,13,41,2025-01-16
359,19,36,2025-01-29
359,10,35,2025-02-23
278,7,45,2025-02-18
278,20,43,2025-02-13
278,9,42,2025-03-27
278,1,47,2025-01-29
278,17,43,2025-01-23
278,10,47,2025-03-15
53,20,36,2025-03-15
53,6,43,2025-01-07
53,17,39,2025-01-28
48,17,44,2025-01-03
48,1,48,2025-03-09
48,13,47,2025-03-09
313,1,44,2025-01-17
313,13,48,2025-02-03
313,15,45,2025-02-18
313,18,37,2025-02-12
313,19,47,2025-01-11
313,17,38,2025-02-02
313,14,37,2025-02-05
115,6,41,2025-02-24
115,2,30,2025-01-11
115,18,36,2025-02-15
115,16,41,2025-03-10
115,15,41,2025-01-10
36,3,46,2025-03-13
36,4,39,2025-01-16
36,10,45,2025-01-25
226,19,46,2025-01-14
308,2,45,2025-02-01
228,20,43,2025-01-24
228,10,46,2025-01-03
228,2,42,2025-01-19
228,16,40,2025-02-10
228,18,44,2025-03-15
228,17,41,2025-01-09
237,11,46,2025-03-06
237,8,38,2025-02-02
5,1,43,2025-01-27
5,7,44,2025-01-27
5,16,39,2025-03-01
5,17,40,2025-01-26
202,17,32,2025-01-29
202,11,44,2025-01-10
202,6,45,2025-02-03
202,20,39,2025-01-21
281,17,40,2025-03-23
281,19,45,2025-03-01
281,11,47,2025-02-17
281,1,41,2025-01-05
173,10,43,2025-02-08
173,17,42,2025-01-02
338,16,37,2025-03-14
338,6,47,2025-01-26
338,14,42,2025-03-02
338,17,39,2025-03-18
238,19,36,2025-02-08
238,14,39,2025-01-26
187,4,44,2025-02-25
187,14,49,2025-02-27
187,19,42,2025-02-01
187,7,45,2025-02-17
27,6,43,2025-03-24
268,4,41,2025-03-26
268,7,43,2025-02-18
268,12,40,2025-02-04
307,5,45,2025-01-06
307,12,44,2025-01-07
307,8,49,2025-01-17
307,20,43,2025-01-03
28,8,43,2025-02-01
75,19,49,2025-01-23
75,6,48,2025-02-14
75,12,45,2025-02-21
90,14,38,2025-01-12
90,18,43,2025-01-08
90,13,38,2025-01-09
90,1,44,2025-01-24
383,15,39,2025-01-31
383,2,44,2025-01-20
383,9,45,2025-02-03
383,17,26,2025-01-19
195,7,47,2025-01-16
195,20,48,2025-01-12
195,16,46,2025-02-24
195,19,45,2025-02-11
307,16,43,2025-01-16
307,15,48,2025-03-09
183,5,45,2025-01-01
183,16,43,2025-02-08
183,20,35,2025-03-17
183,12,49,2025-02-11
183,9,47,2025-02-07
183,3,49,2025-02-13
165,17,40,2025-03-28
165,8,38,2025-01-30
165,11,41,2025-01-30
165,19,40,2025-01-27
250,11,37,2025-01-15
378,5,48,2025-01-16
378,2,42,2025-03-13
378,18,44,2025-02-23
253,3,48,2025-03-10
253,11,46,2025-03-23
253,7,37,2025-02-13
253,5,44,2025-01-01
253,20,43,2025-01-31
253,19,44,2025-03-26
61,8,47,2025-03-07
61,6,45,2025-02-07
76,2,43,2025-01-11
76,7,44,2025-01-28
76,16,43,2025-03-23
78,17,43,2025-02-11
78,16,32,2025-03-24
322,6,42,2025-01-27
322,20,45,2025-02-24
322,11,43,2025-02-14
322,8,45,2025-03-07
381,17,47,2025-03-24
381,14,44,2025-01-15
381,19,39,2025-01-23
381,20,38,2025-02-06
381,8,49,2025-01-18
381,10,46,2025-01-05
381,18,32,2025-03-18
243,3,42,2025-03-21
243,10,49,2025-01-03
243,5,47,2025-01-06
243,16,38,2025-01-20
51,14,36,2025-03-28
51,8,46,2025-02-04
161,20,28,2025-02-18
161,8,39,2025-03-19
161,6,44,2025-02-18
161,5,41,2025-02-01
130,16,38,2025-02-10
130,2,43,2025-01-28
130,8,41,2025-03-10
130,3,43,2025-02-04
163,18,44,2025-02-08
163,7,35,2025-01-07
192,19,38,2025-03-12
192,17,35,2025-02-23
192,7,47,2025-03-17
224,17,43,2025-03-17
224,8,43,2025-01-23
224,19,36,2025-02-15
224,18,39,2025-02-20
1,12,46,2025-02-08
339,19,41,2025-02-05
339,3,49,2025-02-28
339,11,48,2025-02-19
339,7,47,2025-01-13
339,20,28,2025-02-12
339,8,41,2025-03-09
339,16,36,2025-02-28
47,13,47,2025-02-12
320,19,40,2025-02-13
320,3,46,2025-01-10
391,12,49,2025-02-09
391,9,48,2025-01-18
103,6,49,2025-03-01
190,17,46,2025-01-14
190,11,40,2025-01-21
190,13,46,2025-01-17
190,4,43,2025-03-12
190,16,39,2025-02-05
190,10,47,2025-01-18
317,13,46,2025-03-15
317,20,44,2025-01-01
317,18,39,2025-03-03
137,5,45,2025-02-22
137,18,36,2025-01-26
137,4,41,2025-01-13
137,11,32,2025-03-05
137,17,43,2025-03-03
258,1,41,2025-01-13
258,18,45,2025-02-05
258,15,47,2025-02-20
258,12,48,2025-03-15
258,19,43,2025-03-17
258,3,41,2025-03-12
151,17,33,2025-01-01
151,6,45,2025-01-07
151,1,46,2025-02-28
151,11,46,2025-02-17
