invoice_id,order_id,invoice_date,total_invoice_amount
1,1,06-06-2024,214.89
2,2,30-09-2024,37.98
3,3,17-12-2024,57.94
4,4,16-03-2024,81.92
5,5,27-05-2024,140.88
6,6,24-04-2024,202.35
7,7,05-04-2024,142.43
8,8,28-11-2024,15.98
9,9,12-10-2024,23.98
10,10,26-12-2024,235.83999999999997
11,11,02-07-2024,209.85999999999999
12,12,10-06-2024,156.89999999999998
13,13,26-05-2024,66.92
14,14,08-02-2024,92.93
15,15,19-09-2024,195.35999999999999
16,16,16-02-2024,166.88
17,17,10-02-2024,244.89
18,18,27-07-2024,5.49
19,19,27-02-2024,38.97
20,20,10-10-2024,118.87999999999998
21,21,04-08-2024,74.96
22,22,05-01-2024,121.9
23,23,22-06-2024,146.85999999999999
24,24,06-02-2024,128.41
25,25,08-06-2024,42.959999999999994
26,26,22-09-2024,149.88
27,27,11-03-2024,75.93
28,28,19-03-2024,157.89999999999998
29,29,11-03-2024,35.98
30,30,04-06-2024,140.92000000000002
31,31,18-08-2024,113.39999999999999
32,32,04-05-2024,32.98
33,33,17-11-2024,65.44999999999999
34,34,15-09-2024,157.41
35,35,03-12-2024,206.85
36,36,03-08-2024,49.43
37,37,14-04-2024,67.94
38,38,14-06-2024,134.9
39,39,05-05-2024,126.39999999999999
40,40,27-07-2024,62.97
41,41,01-01-2024,5.99
42,42,18-12-2024,68.97
43,43,12-07-2024,115.9
44,44,24-06-2024,218.82
45,45,06-05-2024,85.44999999999999
46,46,21-03-2024,94.92
47,47,19-06-2024,21.97
48,48,14-03-2024,150.41
49,49,17-12-2024,111.39999999999999
50,50,29-02-2024,63.96
51,51,03-04-2024,52.47
52,52,29-05-2024,116.40999999999998
53,53,27-03-2024,128.41
54,54,12-09-2024,86.91
55,55,10-05-2024,43.44
56,56,17-02-2024,54.93
57,57,19-03-2024,13.99
58,58,27-04-2024,199.84
59,59,27-03-2024,42.98
60,60,04-03-2024,51.92999999999999
61,61,04-02-2024,53.97
62,62,02-02-2024,17.99
63,63,02-08-2024,254.35999999999999
64,64,26-02-2024,57.42999999999999
65,65,25-08-2024,206.85
66,66,22-01-2024,189.87
67,67,13-05-2024,108.93
68,68,08-04-2024,94.93999999999998
69,69,07-09-2024,147.9
70,70,07-06-2024,127.91
71,71,25-04-2024,146.38
72,72,20-10-2024,17.97
73,73,20-04-2024,42.97
74,74,27-04-2024,56.93000000000001
75,75,24-05-2024,194.38
76,76,23-03-2024,96.89
77,77,09-02-2024,80.91999999999999
78,78,17-10-2024,76.93
79,79,06-01-2024,214.85999999999999
80,80,27-03-2024,175.36999999999998
81,81,23-02-2024,115.38999999999999
82,82,07-12-2024,62.94
83,83,09-09-2024,27.97
84,84,24-08-2024,18.97
85,85,29-06-2024,144.91
86,86,11-07-2024,58.95
87,87,14-12-2024,25.98
88,88,04-08-2024,53.46
89,89,02-05-2024,92.41
90,90,08-01-2024,185.39
91,91,23-10-2024,141.85
92,92,03-08-2024,149.42000000000002
