order_id,product_id,quantity,unit_price,total_price
1,4,3,22.99,68.97
1,15,2,23.99,47.98
1,11,3,20.99,62.97
1,20,1,4.99,4.99
1,7,2,14.99,29.98
2,3,2,18.99,37.98
3,18,1,6.99,6.99
3,2,3,12.99,38.97
3,17,2,5.99,11.98
4,18,3,6.99,20.97
4,5,2,11.99,23.98
4,5,2,11.99,23.98
4,2,1,12.99,12.99
5,11,3,20.99,62.97
5,17,3,5.99,17.97
5,20,1,4.99,4.99
5,12,1,13.99,13.99
5,17,3,5.99,17.97
5,4,1,22.99,22.99
6,11,3,20.99,62.97
6,16,3,7.99,23.97
6,5,1,11.99,11.99
6,5,2,11.99,23.98
6,20,3,4.99,14.97
6,13,3,21.49,64.47
7,15,3,23.99,71.97
7,14,3,17.99,53.97
7,8,1,16.49,16.49
8,16,2,7.99,15.98
9,5,2,11.99,23.98
10,3,3,18.99,56.97
10,7,3,14.99,44.97
10,17,3,5.99,17.97
10,4,3,22.99,68.97
10,6,2,17.99,35.98
10,19,2,5.49,10.98
11,9,3,19.99,59.97
11,17,1,5.99,5.99
11,5,2,11.99,23.98
11,16,2,7.99,15.98
11,13,2,21.49,42.98
11,19,2,5.49,10.98
11,10,2,24.99,49.98
12,7,2,14.99,29.98
12,20,2,4.99,9.98
12,9,1,19.99,19.99
12,1,1,15.99,15.99
12,17,1,5.99,5.99
12,10,3,24.99,74.97
13,20,3,4.99,14.97
13,6,2,17.99,35.98
13,17,1,5.99,5.99
13,20,2,4.99,9.98
14,17,3,5.99,17.97
14,1,2,15.99,31.98
14,13,2,21.49,42.98
15,1,3,15.99,47.97
15,13,2,21.49,42.98
15,15,2,23.99,47.98
15,18,3,6.99,20.97
15,19,1,5.49,5.49
15,17,2,5.99,11.98
15,14,1,17.99,17.99
16,6,1,17.99,17.99
16,2,3,12.99,38.97
16,18,2,6.99,13.98
16,16,3,7.99,23.97
16,15,3,23.99,71.97
17,3,3,18.99,56.97
17,4,3,22.99,68.97
17,10,2,24.99,49.98
17,4,3,22.99,68.97
18,19,1,5.49,5.49
19,2,3,12.99,38.97
20,20,1,4.99,4.99
20,10,1,24.99,24.99
20,2,3,12.99,38.97
20,16,2,7.99,15.98
20,18,1,6.99,6.99
20,18,3,6.99,20.97
20,17,1,5.99,5.99
21,11,2,20.99,41.98
21,8,2,16.49,32.98
22,1,3,15.99,47.97
22,7,2,14.99,29.98
22,16,2,7.99,15.98
22,17,2,5.99,11.98
22,1,1,15.99,15.99
23,17,3,5.99,17.97
23,11,1,20.99,20.99
23,11,1,20.99,20.99
23,6,3,17.99,53.97
23,20,3,4.99,14.97
23,17,3,5.99,17.97
24,17,1,5.99,5.99
24,19,1,5.49,5.49
24,11,3,20.99,62.97
24,1,3,15.99,47.97
24,17,1,5.99,5.99
25,10,1,24.99,24.99
25,17,3,5.99,17.97
26,16,3,7.99,23.97
26,6,3,17.99,53.97
26,14,3,17.99,53.97
26,17,3,5.99,17.97
27,19,1,5.49,5.49
27,14,3,17.99,53.97
27,19,3,5.49,16.47
28,4,1,22.99,22.99
28,14,1,17.99,17.99
28,4,2,22.99,45.98
28,19,2,5.49,10.98
28,7,1,14.99,14.99
28,7,3,14.99,44.97
29,6,2,17.99,35.98
