payment_id,payment_method,amount,status,payment_date
1,Cash,214.89,Declined,06/06/2024
2,Credit Card,37.98,Completed,09/30/2024
3,Credit Card,57.94,Completed,12/17/2024
4,Cash,81.92,Completed,03/16/2024
5,Credit Card,140.88,Completed,05/27/2024
6,Credit Card,202.35,Declined,04/24/2024
7,Mobile Payment,142.43,Completed,04/05/2024
8,Mobile Payment,15.98,Completed,11/28/2024
9,Credit Card,23.98,Completed,10/12/2024
10,Cash,235.83999999999997,Declined,12/26/2024
11,Mobile Payment,209.85999999999999,Completed,07/02/2024
12,Credit Card,156.89999999999998,Completed,06/10/2024
13,Credit Card,66.92,Completed,05/26/2024
14,Cash,92.93,Completed,02/08/2024
15,Credit Card,195.35999999999999,Completed,09/19/2024
16,Cash,166.88,Declined,02/16/2024
17,Credit Card,244.89,Completed,02/10/2024
18,Credit Card,5.49,Completed,07/27/2024
19,Credit Card,38.97,Completed,02/27/2024
20,Credit Card,118.87999999999998,Completed,10/10/2024
21,Credit Card,74.96,Completed,08/04/2024
22,Cash,121.9,Declined,01/05/2024
23,Credit Card,146.85999999999999,Completed,06/22/2024
24,Cash,128.41,Completed,02/06/2024
25,Credit Card,42.959999999999994,Completed,06/08/2024
26,Credit Card,149.88,Completed,09/22/2024
27,Credit Card,75.93,Completed,03/11/2024
28,Mobile Payment,157.89999999999998,Completed,03/19/2024
29,Cash,35.98,Declined,03/11/2024
30,Credit Card,140.92000000000002,Timeout,06/04/2024
31,Cash,113.39999999999999,Completed,08/18/2024
32,Credit Card,32.98,Completed,05/04/2024
33,Credit Card,65.44999999999999,Declined,11/17/2024
34,Credit Card,157.41,Completed,09/15/2024
35,Credit Card,206.85,Completed,12/03/2024
36,Credit Card,49.43,Completed,08/03/2024
37,Cash,67.94,Completed,04/14/2024
38,Cash,134.9,Completed,06/14/2024
39,Credit Card,126.39999999999999,Declined,05/05/2024
40,Credit Card,62.97,Declined,07/27/2024
41,Credit Card,5.99,Declined,01/01/2024
42,Cash,68.97,Completed,12/18/2024
43,Credit Card,115.9,Completed,07/12/2024
44,Cash,218.82,Completed,06/24/2024
45,Credit Card,85.44999999999999,Completed,05/06/2024
46,Mobile Payment,94.92,Completed,03/21/2024
47,Cash,21.97,Timeout,06/19/2024
48,Cash,150.41,Completed,03/14/2024
49,Credit Card,111.39999999999999,Declined,12/17/2024
50,Cash,63.96,Completed,02/29/2024
51,Cash,52.47,Completed,04/03/2024
52,Cash,116.40999999999998,Completed,05/29/2024
53,Credit Card,128.41,Completed,03/27/2024
54,Credit Card,86.91,Completed,09/12/2024
55,Cash,43.44,Timeout,05/10/2024
56,Cash,54.93,Completed,02/17/2024
57,Credit Card,13.99,Completed,03/19/2024
58,Credit Card,199.84,Completed,04/27/2024
59,Credit Card,42.98,Timeout,03/27/2024
60,Cash,51.92999999999999,Completed,03/04/2024
61,Credit Card,53.97,Completed,02/04/2024
62,Cash,17.99,Completed,02/02/2024
63,Credit Card,254.35999999999999,Declined,08/02/2024
64,Cash,57.42999999999999,Completed,02/26/2024
65,Credit Card,206.85,Completed,08/25/2024
66,Cash,189.87,Declined,01/22/2024
67,Credit Card,108.93,Completed,05/13/2024
68,Cash,94.93999999999998,Timeout,04/08/2024
69,Credit Card,147.9,Completed,09/07/2024
70,Credit Card,127.91,Completed,06/07/2024
71,Credit Card,146.38,Completed,04/25/2024
72,Credit Card,17.97,Declined,10/20/2024
73,Mobile Payment,42.97,Completed,04/20/2024
74,Credit Card,56.93000000000001,Completed,04/27/2024
75,Cash,194.38,Completed,05/24/2024
76,Mobile Payment,96.89,Timeout,03/23/2024
77,Cash,80.91999999999999,Completed,02/09/2024
78,Cash,76.93,Completed,10/17/2024
79,Credit Card,214.85999999999999,Completed,01/06/2024
80,Credit Card,175.36999999999998,Declined,03/27/2024
81,Credit Card,115.38999999999999,Completed,02/23/2024
82,Credit Card,62.94,Completed,12/07/2024
83,Credit Card,27.97,Timeout,09/09/2024
84,Credit Card,18.97,Completed,08/24/2024
85,Cash,144.91,Completed,06/29/2024
86,Credit Card,58.95,Completed,07/11/2024
87,Credit Card,25.98,Timeout,12/14/2024
88,Credit Card,53.46,Declined,08/04/2024
89,Cash,92.41,Completed,05/02/2024
90,Credit Card,185.39,Declined,01/08/2024
91,Credit Card,141.85,Completed,10/23/2024
92,Mobile Payment,149.42000000000002,Declined,08/03/2024
93,Credit Card,67.92999999999999,Declined,12/11/2024
94,Credit Card,137.38000000000002,Completed,11/23/2024
95,Cash,220.85999999999999,Declined,10/17/2024
96,Mobile Payment,89.94,Completed,01/28/2024
97,Credit Card,9.98,Completed,06/16/2024
98,Credit Card,42.959999999999994,Completed,12/02/2024
99,Cash,211.39,Completed,04/12/2024
100,Credit Card,188.88,Completed,03/09/2024
101,Credit Card,113.38,Timeout,04/14/2024
102,Credit Card,79.44,Completed,12/26/2024
103,Credit Card,103.36999999999999,Completed,04/29/2024
104,Credit Card,193.87999999999997,Completed,09/11/2024
105,Mobile Payment,120.93,Completed,02/12/2024
106,Cash,67.95,Completed,08/05/2024
107,Credit Card,10.98,Completed,06/15/2024
108,Cash,139.92999999999998,Completed,02/19/2024
109,Mobile Payment,22.96,Declined,10/07/2024
110,Credit Card,15.97,Completed,08/06/2024
111,Credit Card,230.83999999999997,Declined,07/24/2024
112,Credit Card,14.97,Completed,03/13/2024
113,Credit Card,161.86999999999998,Completed,10/11/2024
114,Cash,42.98,Completed,09/14/2024
115,Credit Card,196.35,Completed,09/09/2024
116,Cash,99.92999999999999,Completed,08/15/2024
117,Credit Card,102.89999999999999,Declined,04/20/2024
118,Credit Card,75.95,Completed,12/28/2024
119,Cash,28.979999999999997,Declined,09/09/2024
120,Credit Card,129.9,Completed,06/28/2024
121,Credit Card,93.38000000000001,Completed,06/21/2024
122,Cash,78.92999999999999,Completed,04/22/2024
123,Cash,105.39999999999999,Completed,01/05/2024
124,Mobile Payment,119.9,Completed,02/17/2024
125,Credit Card,75.44999999999999,Declined,08/11/2024
126,Credit Card,56.97,Completed,07/31/2024
127,Credit Card,38.97,Completed,02/18/2024
128,Credit Card,83.42999999999999,Completed,12/21/2024
129,Credit Card,203.86999999999998,Completed,05/11/2024
130,Cash,16.97,Completed,07/20/2024
131,Credit Card,32.47,Completed,10/02/2024
132,Cash,195.87,Completed,01/07/2024
133,Cash,127.89,Completed,10/06/2024
134,Credit Card,171.89999999999998,Completed,04/21/2024
135,Credit Card,118.94,Declined,11/25/2024
136,Credit Card,37.43,Completed,10/02/2024
137,Mobile Payment,34.97,Completed,04/12/2024
138,Credit Card,33.98,Completed,12/18/2024
139,Credit Card,167.89999999999998,Completed,01/12/2024
140,Credit Card,99.41000000000001,Timeout,06/16/2024
141,Cash,189.37999999999997,Completed,07/16/2024
142,Credit Card,99.93,Completed,09/13/2024
143,Credit Card,100.91999999999999,Completed,01/23/2024
144,Credit Card,15.98,Completed,01/07/2024
145,Cash,56.959999999999994,Completed,11/05/2024
146,Credit Card,34.95,Completed,03/15/2024
147,Credit Card,215.86999999999998,Completed,01/07/2024
148,Cash,23.46,Timeout,09/07/2024
149,Credit Card,160.41,Completed,02/15/2024
150,Cash,107.89999999999999,Completed,12/22/2024
151,Credit Card,75.92999999999999,Completed,06/16/2024
152,Credit Card,136.39,Completed,11/12/2024
153,Cash,25.96,Completed,09/26/2024
154,Cash,81.9,Completed,05/23/2024
155,Cash,197.85999999999996,Completed,10/12/2024
156,Credit Card,26.46,Declined,06/03/2024
157,Credit Card,80.41999999999999,Completed,05/16/2024
158,Credit Card,68.44,Completed,11/26/2024
159,Credit Card,131.38,Completed,09/30/2024
160,Credit Card,5.99,Completed,09/02/2024
161,Cash,172.86999999999998,Completed,02/11/2024
162,Cash,168.85,Completed,04/03/2024
163,Credit Card,145.88,Completed,12/21/2024
164,Cash,68.97,Completed,07/11/2024
165,Credit Card,126.89999999999999,Completed,02/07/2024
166,Cash,106.4,Completed,06/18/2024
167,Credit Card,20.97,Completed,10/28/2024
168,Credit Card,111.86,Completed,03/11/2024
169,Mobile Payment,173.38,Declined,01/13/2024
170,Credit Card,247.81,Completed,06/05/2024
171,Mobile Payment,15.98,Completed,08/22/2024
172,Credit Card,18.99,Completed,06/09/2024
173,Credit Card,183.87,Completed,06/13/2024
174,Credit Card,161.89999999999998,Declined,02/14/2024
175,Credit Card,195.85999999999999,Completed,06/28/2024
176,Credit Card,101.91,Completed,02/17/2024
177,Cash,110.40999999999998,Completed,02/04/2024
178,Cash,148.89,Declined,07/19/2024
179,Credit Card,36.44,Completed,04/15/2024
180,Credit Card,228.85,Completed,12/04/2024
181,Credit Card,190.85,Completed,11/10/2024
182,Mobile Payment,79.42,Completed,10/17/2024
183,Credit Card,224.85999999999999,Completed,07/04/2024
184,Credit Card,47.98,Completed,04/11/2024
185,Cash,89.94999999999999,Completed,11/27/2024
186,Mobile Payment,104.39999999999999,Declined,04/21/2024
187,Credit Card,43.940000000000005,Completed,02/09/2024
188,Cash,58.93,Completed,06/13/2024
189,Credit Card,57.97,Declined,10/16/2024
190,Cash,23.98,Declined,05/28/2024
191,Credit Card,96.42,Declined,10/15/2024
192,Credit Card,190.81999999999996,Completed,10/23/2024
193,Credit Card,32.95,Completed,03/11/2024
194,Credit Card,281.87,Completed,11/09/2024
195,Cash,5.49,Completed,08/31/2024
196,Credit Card,16.47,Completed,05/18/2024
197,Credit Card,56.42,Completed,02/26/2024
198,Cash,61.94,Declined,12/09/2024
199,Credit Card,59.910000000000004,Completed,05/02/2024
200,Cash,47.98,Completed,09/07/2024
201,Credit Card,156.89999999999998,Completed,02/22/2024
202,Credit Card,235.83999999999997,Completed,04/27/2024
203,Cash,161.88,Completed,10/02/2024
204,Cash,151.91,Declined,12/06/2024
205,Credit Card,9.98,Completed,02/27/2024
206,Cash,17.47,Completed,08/05/2024
207,Credit Card,86.96,Declined,07/05/2024
208,Cash,104.89999999999998,Completed,09/11/2024
209,Mobile Payment,10.98,Declined,12/25/2024
210,Cash,10.48,Completed,03/19/2024
211,Credit Card,153.91,Completed,01/25/2024
212,Credit Card,44.959999999999994,Declined,11/18/2024
213,Cash,133.38,Completed,02/24/2024
214,Credit Card,130.9,Completed,03/16/2024
215,Cash,32.959999999999994,Completed,06/23/2024
216,Credit Card,107.91,Completed,06/01/2024
217,Credit Card,100.39,Completed,03/05/2024
218,Credit Card,54.97,Completed,07/08/2024
219,Mobile Payment,159.39000000000001,Completed,11/09/2024
220,Credit Card,138.38,Completed,04/09/2024
221,Cash,65.95,Declined,08/09/2024
222,Cash,72.94999999999999,Completed,11/09/2024
223,Credit Card,15.99,Completed,10/31/2024
224,Cash,20.97,Completed,10/08/2024
225,Mobile Payment,149.41,Declined,10/12/2024
226,Credit Card,62.45,Completed,05/10/2024
227,Credit Card,98.94,Completed,07/16/2024
228,Mobile Payment,130.88,Completed,05/26/2024
229,Credit Card,155.90999999999997,Completed,01/07/2024
230,Credit Card,278.87,Completed,10/27/2024
231,Credit Card,96.88,Completed,01/06/2024
232,Credit Card,41.96,Completed,02/02/2024
233,Credit Card,63.949999999999996,Timeout,06/07/2024
234,Credit Card,34.96,Declined,11/30/2024
235,Cash,141.39000000000001,Completed,06/10/2024
236,Credit Card,100.38999999999999,Completed,12/07/2024
237,Credit Card,78.89,Completed,12/17/2024
238,Mobile Payment,14.97,Declined,11/20/2024
239,Credit Card,136.9,Declined,01/20/2024
240,Credit Card,146.89,Completed,07/03/2024
241,Cash,24.99,Completed,07/31/2024
242,Credit Card,166.9,Completed,11/06/2024
243,Cash,71.96,Completed,04/12/2024
244,Credit Card,98.93,Timeout,12/31/2024
245,Credit Card,224.35,Completed,02/25/2024
246,Cash,118.39999999999999,Completed,12/05/2024
247,Credit Card,136.91,Declined,12/11/2024
248,Cash,42.45,Declined,03/31/2024
249,Cash,28.950000000000003,Declined,12/08/2024
250,Cash,86.91,Timeout,02/21/2024
251,Cash,93.44,Completed,08/20/2024
252,Credit Card,118.91999999999999,Completed,10/28/2024
253,Credit Card,238.83999999999997,Completed,05/19/2024
254,Credit Card,153.35,Completed,01/22/2024
255,Credit Card,13.98,Completed,07/13/2024
256,Credit Card,108.91999999999999,Completed,10/17/2024
257,Credit Card,7.99,Completed,11/20/2024
258,Credit Card,32.96,Completed,04/17/2024
259,Cash,73.92,Completed,05/29/2024
260,Credit Card,178.85,Completed,10/04/2024
261,Cash,41.97,Completed,08/10/2024
262,Credit Card,20.97,Completed,06/15/2024
263,Credit Card,67.94,Completed,08/20/2024
264,Cash,46.449999999999996,Completed,04/26/2024
265,Cash,200.41,Completed,07/26/2024
266,Credit Card,219.85,Completed,08/24/2024
267,Credit Card,40.97,Completed,06/10/2024
268,Cash,68.93,Completed,05/21/2024
269,Credit Card,47.97,Completed,10/13/2024
270,Credit Card,77.94,Completed,12/28/2024
271,Credit Card,17.97,Completed,11/13/2024
272,Credit Card,153.9,Declined,03/03/2024
273,Cash,169.39,Completed,09/25/2024
274,Credit Card,84.96,Completed,07/22/2024
275,Credit Card,161.83,Declined,02/28/2024
276,Credit Card,25.98,Timeout,07/12/2024
277,Cash,124.39,Completed,04/19/2024
278,Mobile Payment,96.39999999999999,Completed,11/19/2024
279,Cash,256.81999999999994,Completed,09/03/2024
280,Cash,271.82,Completed,11/07/2024
281,Credit Card,47.98,Declined,08/07/2024
282,Credit Card,9.98,Completed,01/26/2024
283,Credit Card,141.88,Completed,03/30/2024
284,Credit Card,126.42999999999999,Completed,11/26/2024
285,Cash,91.93999999999998,Declined,11/21/2024
286,Mobile Payment,140.85999999999999,Completed,10/13/2024
287,Cash,103.92,Completed,09/26/2024
288,Credit Card,17.99,Completed,05/21/2024
289,Cash,65.94,Timeout,04/03/2024
290,Credit Card,172.89000000000001,Completed,12/11/2024
291,Credit Card,76.92999999999999,Declined,07/02/2024
292,Credit Card,151.89,Completed,01/13/2024
293,Credit Card,104.92999999999999,Completed,10/29/2024
294,Cash,41.94,Completed,04/02/2024
295,Cash,15.47,Declined,02/16/2024
296,Credit Card,165.38,Completed,01/27/2024
297,Credit Card,14.97,Timeout,07/28/2024
298,Credit Card,192.85999999999999,Completed,07/06/2024
299,Cash,89.42999999999999,Completed,05/09/2024
300,Cash,60.95,Completed,03/27/2024
301,Credit Card,181.88,Completed,12/17/2024
302,Cash,131.89,Declined,07/27/2024
303,Credit Card,60.95,Completed,04/22/2024
304,Credit Card,19.98,Completed,07/15/2024
305,Credit Card,206.35000000000002,Completed,03/18/2024
306,Credit Card,45.98,Completed,02/03/2024
307,Cash,132.91,Declined,07/14/2024
308,Credit Card,93.42,Timeout,08/30/2024
309,Credit Card,63.97,Completed,09/27/2024
